"Reference ID","Author Key","Title","Authors","DOI","Trial ID","Date","Abstract Screening Decision","Full Text Screening Decision","Study Group","Notes","Animal Model","Authors and Publication Year","Anatomical connections","Verification of Zona Incerta Targeting","Photometry Data","Electrophysiology Data","Purpose of this circuit","Necessity vs. sufficiency or Both"
"AIM-45","wu.nodate","Projections from the Rostral Zona Incerta to the Thalamic Paraventricular Nucleus Mediate Nociceptive Neurotransmission in Mice.","Wu FL, Chen SH, Li JN, Zhao LJ, Wu XM, Hong J, Zhu KH, Sun HX, Shi SJ, Mao E, Zang WD, Cao J, Kou ZZ, Li YQ","https://doi.org/10.3390/metabo13020226","","","ACCEPT","ACCEPT","wu.nodate","","Adult male mice (Mus musculus), including wild-type C57BL/6J, GAD2-Cre, Ai9-TdTomato reporter, and GAD67-GFP lines (6–12 weeks old).","Feng-Ling Wu; Si-Hai Chen; Jia-Ni Li; Liu-Jie Zhao; Xue-Mei Wu; Jie Hong; Ke-Hua Zhu; Han-Xue Sun; Su-Juan Shi; E Mao; Wei-Dong Zang; Jing Cao; Zhen-Zhen Kou; Yun-Qing Li, 2023","Rostral zona incerta (ZIR) GABAergic neurons project to the paraventricular thalamic nucleus (PVT). Pathway traced by: 1) retrograde labeling with 594 retroBeads (200 nL) and CTB (200 nL) injected into PVT (AP –0.94, ML 0, DV –3.25 mm; survival 7–10 days), revealing labeled cells predominantly in ZIR (AP –1, ML 0.7, DV –4.67 mm), ~72.2% co-localized with GABAergic marker; 2) anterograde tracing via rAAV2/9-hSyn-eGFP or EF1a-DIO-mCherry (100 nL, 20 nL/min) injected into ZIR (survival 3 weeks) labeling axonal terminals in PVT; functional connectivity confirmed by optogenetic activation of ZIR terminals evoking IPSCs in PVT neurons.","Stereotaxic targeting of rostral ZI (coordinates AP −1, ML 0.7, DV −4.67 mm) with histological verification by fluorescent imaging of tracer/virus expression on 30 µm coronal sections, aligned to atlas; use of GAD2-Cre × Ai9 and GAD67-GFP mice confirmed GABAergic identity at injection site.","Recorded bulk Ca2+ activity (jGCaMP7s) from ZIR-projecting PVT neurons via fiber photometry. Nociceptive epochs: 1.0 g von Frey (mechanical) and 0.3 mA shock—both induced an increase in ΔF/F; non-nociceptive control (0.07 g von Frey)—no change. Peak values and N animals not explicitly stated.","1) ChR2-expressing ZIR neurons: optical pulses at 5, 10, 20 Hz evoked reliable AP firing. 2) ZIR→PVT terminals: 473 nm stimulation evoked IPSCs in PVT neurons. 3) hM3Dq-expressing ZIR neurons: 20 µM clozapine induced inward currents at −70 mV. No passive membrane parameters provided.","To mediate nociceptive neurotransmission by providing GABAergic inhibition from rostral ZI to PVT, thereby modulating mechanical and thermal pain sensitivity.","Both"
"AIM-46","zhang.nodatea","A zona incerta-basomedial amygdala circuit modulates aversive expectation in emotional stress-induced aversive learning deficits.","Zhang L, Zhang P, Qi G, Cai H, Li T, Li M, Cui C, Lei J, Ren K, Yang J, Ming J, Tian B","https://doi.org/10.3389/fncel.2022.910699","","","ACCEPT","ACCEPT","zhang.nodatea","","C57BL/6J male mice (2–2.5 months old) as experimental subjects; CD1 male mice as aggressors in the 3C-VSDS model","Lijun Zhang; Pei Zhang; Guangjian Qi; Hongwei Cai; Tongxia Li; Ming Li; Chi Cui; Jie Lei; Kun Ren; Jian Yang; Jie Ming; Bo Tian (2022)","(1) Anterograde, cell-type-specific tracing: ZI TH+ neurons → BMA via unilateral injection of rAAV2/9-TH-Cre and rAAV2/9-EF1α-DIO-mCherry into ZI (AP –2.4, ML ±1.6, DV –4.2 mm); mCherry+ axon terminals detected in BMA (AP –1.0, ML ±2.55, DV –5.2 mm). (2) Monosynaptic retrograde rabies tracing: BMA neurons ← ZI TH+ inputs via injection of rAAV2/9-hSyn-Cre, rAAV2/9-EF1α-DIO-RVG, and rAAV2/9-EF1α-DIO-TVA-EGFP into BMA, followed 17 days later by RV-EnvA-1G-DsRed into BMA; DsRed+ neurons observed in ZI.","Histological verification by immunofluorescent co-labeling of virus reporters (GCaMP6m, mCherry, NpHR3.0) with TH antibody in ZI and post-mortem confirmation of injection sites and fiber tracts","Population: ZI TH+ neurons. Indicator: GCaMP6m via rAAV2/9-EF1α-DIO-GCaMP6m in TH-Cre mice; fiber photometry (488 nm, 3–10 mW, 20 Hz). Epochs: (1) Habituation: CS alone (180 s tone) – no ΔF/F change; (2) Conditioning: three CS-US pairings (28 s tone/2 s footshock) with early (0–14 s) and late (14–28 s) CS phases – gradual increase in ΔF/F across CS1–CS3, significant increase in late phase of CS3 (one-way ANOVA p=2.6×10^–3; Sidak’s CS1 vs CS3 p=0.0023); (3) Retrieval: CS alone (180 s) – increased ΔF/F at CS onset. N=9 mice; control: GFP-expressing mice; statistical tests: one-way ANOVA with Sidak’s post hoc.","No electrophysiological recordings (e.g., patch clamp) were reported in this study.","This ZI-to-BMA TH+ circuit modulates aversive expectation during fear conditioning and rescues emotional stress-induced aversive learning deficits, making it a potential target for intervention in maladaptive fear learning.","Both"
"AIM-52","zhang.nodatec","Low-frequency stimulation in the zona incerta attenuates seizure via driving GABAergic neuronal activity.","Zhang M, Yang L, Li Z, Fei F, Zhou Y, Jiang D, Zheng Y, Cheng H, Wang Y, Xu C, Fang J, Wang S, Chen Z, Wang Y","https://doi.org/10.1016/j.nbd.2024.106424","","","ACCEPT","ACCEPT","zhang.nodatec","","Vgat-Cre mice (for cell-specific photometry and ablation) and C57BL/6J mice (for DBS seizure models)","Mengdi Zhang; Lin Yang; Zhongxia Li; Fan Fei; Yuan Zhou; Dongxiao Jiang; Yuyi Zheng; Hui Cheng; Yu Wang; Cenglin Xu; Jiajia Fang; Shuang Wang; Zhong Chen; Yi Wang (2024)","","Histological verification of electrode/fiber placement by brain slicing, plus immunohistochemical confirmation of GCaMP6m expression in ZI GAD65/67 neurons (ventral ZI, AP –2.2 mm, ML –1.7 mm, DV –4.3 mm).","Population: ZI GABAergic neurons (Vgat-Cre mice expressing AAV-EF1a-DIO-GCaMP6m; fiber photometry). Epoch: 30 s of DBS at 1 Hz, 5 Hz, 20 Hz, or 100 Hz. 1 Hz: ΔF/F increased (paired t-test, P = 0.0237, n = 5); 5 Hz: ΔF/F increased (P = 0.0271, n = 5); 20 Hz: ΔF/F increased (P = 0.0169, n = 5); 100 Hz: no significant change (P = 0.1490, n = 5). Recording hardware: Nanjing Thinkertech fiber photometry system. Figure 5.","","To attenuate seizure severity in hippocampal and cortical seizure models by activating ZI GABAergic neurons with low-frequency DBS.","Both necessity and sufficiency"
"AIM-53","jiang.nodate","Dopaminergic Neurons in Zona Incerta Drives Appetitive Self-Grooming.","Jiang Z, He M, Young C, Cai J, Xu Y, Jiang Y, Li H, Yang M, Tong Q","https://doi.org/10.1002/advs.202308974","","","ACCEPT","ACCEPT","jiang.nodate","","Adult transgenic mice (Th-cre, Th-cre;vgat-flp, Sim1-cre::tdTomato) on a C57BL/6 background","Zhiying Jiang; Michelle He; Claire Young; Jing Cai; Yuanzhong Xu; Yanyan Jiang; Hongli Li; Maojie Yang; Qingchun Tong (2024)","Anterograde (AAV-DIO-synaptophysin-GFP in Th-Cre mice): ZITH→NAc shell; ZITH→BNST; ZITH→PAG; ZITH→LC; ZITH→LRt. Monosynaptic rabies (EnvA-RV-GFP following AAVDJ8-CAG-FLEX-TC66T-mCherry + AAVDJ8-EF1A-DIO-oG in Th-Cre mice): LS→ZITH; POA→ZITH; PVT→ZITH; BNST→ZITH; PVH→ZITH; VMH→ZITH; PH→ZITH; PAG→ZITH.","Immunostaining of TH and Sim1 reporter in Sim1-Cre::tdTomato mice to localize ZITH neurons posterior to PVH; post hoc TH immunohistochemistry and GFP labeling to verify AAV targeting; verification of no off-target spread to SN and VTA.","Fiber photometry (GCaMP6m/f via AAV9-hsyn1-Flex or AAV8-EF1A-Con/Fon in Th-Cre or Th-Cre;vgat-flp mice) recorded increased ΔF/F in ZITH neurons during spontaneous self-grooming and in response to water spray, tail lift, visual, and auditory stimuli.","Whole-cell patch-clamp in Th-Cre::L10A-GFP slices: RMP –51.6 ± 1.9 mV (n=13); Rin 1.04 ± 0.09 GΩ (n=14); spontaneous firing in 7/13 neurons at 3.4 ± 0.9 Hz; reliable AP firing up to 20 Hz.","To promote appetitive self-grooming via dopamine release from ZITH neurons to the PAG, integrating sensory stimuli to drive grooming behavior.","Both"
"AIM-54","sun.nodate","Zona incerta mediates early life isoflurane-induced fear memory deficits.","Sun J, Deng X, Zhu L, Lin J, Chen G, Tang Y, Lu S, Lu Z, Meng Z, Li Y, Zhu Y","https://doi.org/10.1038/s41598-024-66106-w","","","ACCEPT","ACCEPT","sun.nodate","","Wild type C57BL/6J mice","Jing Sun, Xiaofei Deng, Lin Zhu, Jianbang Lin, Gaowei Chen, Yong Tang, Shanshan Lu, Zhonghua Lu, Zhiqiang Meng, Yuantao Li, Yingjie Zhu; 2024","","Stereotaxic injections into the ZI (AP −1.95, ML +1.0, DV −4.45) with post-mortem histological verification of viral reporter (GCaMP6s or mCherry) expression in ZI","Population: ZI neurons expressing GCaMP6s via AAV2/9-hSyn-GCaMP6s; Indicator: GCaMP6s; Delivery: viral transduction and fiber photometry with 405 nm isosbestic control; Behavioral epoch: retrieval of fear memory; Signal change: ISO mice showed increased frequency of Ca2+ transient events per minute versus controls; ISO+DEX mice showed reduced frequency versus ISO; Quantitative measure: frequency of Ca2+ events per minute (mean±SEM not explicitly stated); N animals: control n=3, ISO n=5, ISO+DEX n=5; Statistical test: Mann–Whitney, p<0.05; Figure reference: Fig. 3F (main text)","","Mediating the impairment and rescue of fear memory retrieval following early-life isoflurane exposure","sufficiency"
"AIM-64","fu.nodate","Acoustic Motor Cortex Stimulation Enhances the Descending Analgesic Pathway to Alleviate Chronic Pain in Mice.","Fu W, Yang G, Ke J, Huang T, Li J, Chen X, Zou J, Lin Z, Niu L, Li Y","https://doi.org/10.1109/tnsre.2025.3564033","","","ACCEPT","ACCEPT","fu.nodate","","C57BL/6J mice (male, 8 weeks old) and TRAP2-tdTomato transgenic mice","Weiliang Fu; Guanghua Yang; Jin Ke; Tianwen Huang; Jinpeng Li; Xiaoyan Chen; Junjie Zou; Zhengrong Lin; Lili Niu; Yongjie Li, 2025","","","Two-photon calcium imaging of SCDH neurons expressing GCaMP6s (rAAV-hSyn-GCaMP6s) in awake mice (n = 3), recorded 1F/F0 during resting (0–30 s), stimulation (pinch/ice/von Frey, 30–60 s), and post-stimulation (60–180 s) epochs, showing significantly decreased ∆F/F0 during stimulation after one week of aMCS","","To non-invasively stimulate the primary motor cortex and thereby enhance the descending analgesic pathway to alleviate chronic pain","Sufficiency"
"AIM-74","watson.nodate","Opposing collicular influences on the parafascicular (Pf) and posteromedial (POm) thalamic nuclei: relationship to POm-induced inhibition in the substantia nigra pars reticulata (SNR).","Watson GDR, Alloway KD","https://doi.org/10.1007/s00429-017-1534-8","","","ACCEPT","ACCEPT","watson.nodate","","Adult male Sprague-Dawley rats","Glenn D. R. Watson; Kevin D. Alloway; 2018","• Superior colliculus → ventral zona incerta (feed-forward GABAergic inhibition of POm)
• Zona incerta → POm (GABAergic)
• Superior colliculus → parafascicular nucleus (Pf) (excitatory)
• Parafascicular nucleus → dorsolateral striatum (DLS)
• Posteromedial thalamus (POm) → DLS (excitatory)
• DLS (direct pathway) → lateral substantia nigra pars reticulata (inhibitory)","","","","To determine how superior colliculus activation differentially influences Pf and POm and to assess how POm stimulation affects downstream basal ganglia output in the substantia nigra pars reticulata.","sufficiency"
"AIM-76","ye.nodatec","Zona incerta dopamine neurons encode motivational vigor in food seeking.","Ye Q, Nunez J, Zhang X","https://doi.org/10.1101/2023.06.29.547060","","","ACCEPT","ACCEPT","ye.nodatea","","Mouse (TH-Cre, vGAT-Cre, GAD67-GFP)","Qiying Ye; Jeremiah Nunez; Xiaobing Zhang (2023)","ZI TH⁺ neurons → PVT: anterograde AAV-EF1a-DIO-EGFP in bilateral ZI of TH-Cre mice labeled EGFP-positive axons in PVT and PAG; retrograde AAVrg-FLEX-EGFP injected into PVT of TH-Cre mice labels ZI DA neurons. Functional connectivity tested by photostimulation of ChIEF-positive ZI DA terminals in PVT, eliciting D2 receptor–mediated inhibitory currents in PVT neurons. Figures 5A–D, S14–S15.","Targeting confirmed by TH immunocytochemistry showing colocalization of viral reporter expression with TH-positive neurons in the ZI; RNAScope in situ hybridization for GAD2/GAD65 and use of GAD67-GFP mice to distinguish neuronal populations. No specific ZI subregion was specified.","Population: ZI DA neurons; Indicator: GCaMP7f via AAV in TH-Cre mice, fiber photometry; Epoch: food approach; Direction: increase; N animals: 4; N trials: 50; Figures: 4B. Population: ZI DA neurons; Epoch: pellet retrieval and consumption; Direction: decrease; N animals: 4; N trials: 50; Figures: 4C. Population: ZI GABA neurons; Indicator: GCaMP7f via AAV in vGAT-Cre mice; Epoch: food approach; Direction: modest increase; N animals: 4; N trials: 50; Figures: 4D. Population: ZI GABA neurons; Epoch: consumption; Direction: large sustained suppression; N animals: 4; N trials: 50; Figures: 4E–F.","Patch-clamp recordings confirm chemogenetic manipulation: CNO depolarizes hM3D(Gq)-expressing ZI DA neurons and hyperpolarizes hM4D(Gi)-expressing ZI DA neurons; HFHS diet depolarizes resting membrane potential and increases EPSC frequency onto ZI DA neurons. No quantitative metrics for membrane capacitance, input resistance, AP kinetics, sag, or firing rate were provided.","To encode motivational vigor in homeostatic food-seeking behaviors to drive meal frequency and to transmit positive-valence signals via the ZI→PVT DA pathway to support contextual food memory.","Both"
"AIM-57","chou.nodate","Inhibitory gain modulation of defense behaviors by zona incerta.","Chou XL, Wang X, Zhang ZG, Shen L, Zingg B, Huang J, Zhong W, Mesik L, Zhang LI, Tao HW","https://doi.org/10.1038/s41467-018-03581-6","","","ACCEPT","ACCEPT","chou.nodate","","Mice (C57BL/6 wild-type and transgenic lines: GAD2-Cre, vGLUT2-Cre, PV-Cre, Ai14; GAD67-GFP)","Xiao-lin Chou; Xiyue Wang; Zheng-gang Zhang; Li Shen; Brian Zingg; Junxiang Huang; Wen Zhong; Lukas Mesik; Li I. Zhang; Huizhong Whit Tao (2018)","Distinct GABAergic projections from rostral ZI (ZIr)→dlPAG and ZIr→vlPAG (anterograde AAV1-CAG-FLEX-GFP in GAD2-Cre; 30 nL at AP –1.2, ML +1.6, DV –4.4 mm; 3–4 week survival; Fig. 1b,d), sparse PV+ ZIv/ZId→PAG projections (anterograde AAV1-CAG-FLEX-GFP in PV-Cre; 30 nL at AP –1.5, ML +2.2, DV –4.2 mm; Fig. 1c,d), retrograde CTB from PAG→ZIr (30 nL at AP –4.4, ML +0.5, DV –2.5 mm; colocalization with GAD67-GFP; Fig. 7a), monosynaptic rabies-eGFP from dlPAG/vlPAG→ZIr (EnvA-ΔG rabies; 30 nL at AP –4.4, ML +0.6/0.5, DV –2.4/–2.7 mm; Supplementary Fig. 1c,d), and mPFC (ILA/PL/ACA)→ZIr (retrograde rAAV2-retro-syn-Cre into ZIr; 30 nL at AP –1.2, ML +1.6, DV –4.4 mm, Ai14 mice; anterograde AAV1-CamKII-ChR2-eYFP into mPFC; 30 nL at AP +1.6, ML –0.4, DV –1.9 mm; Fig. 6a,b). Functional synaptic connectivity was confirmed by optogenetically evoked IPSCs in vGLUT2+ PAG neurons (blocked by gabazine; Fig. 7b,c) and EPSCs in ZIr neurons (Fig. 6c).","Stereotaxic injections targeted to rostral ZI (AP –1.2 to –1.5 mm; ML +1.6 to +2.2 mm; DV ~–4.2 to –4.4 mm) confirmed by confocal imaging of Cre-dependent GFP/ChR2-eYFP in GAD2-Cre::Ai14 and PV-Cre mice, Nissl and NeuN staining in GAD67-GFP mice, and exclusion of mistargeted cases.","","","To modulate the gain of innate and learned defensive behaviors via inhibitory ZIr→PAG projections and to mediate experience-dependent fear extinction through mPFC inputs.","Both"
"AIM-7","ye.nodate","Serotonin activates paraventricular thalamic neurons through direct depolarization and indirect disinhibition from zona incerta.","Ye Q, Zhang X","https://doi.org/10.1113/jp282088","","","ACCEPT","ACCEPT","","","C57BL/6J mice and vGAT‐Cre mice","Qiying Ye; Xiaobing Zhang (2021)","1) Vgat+ GABA neurons in the zona incerta → paraventricular thalamus (ZI→PVT) traced by anterograde AAV5‐EF1a‐DIO‐ChR2‐EYFP injection in vGAT‐Cre mice. 2) Paraventricular thalamus‐projecting dorsal raphe neurons → PVT labeled by retrograde CTB‐555 injection into PVT (DR→PVT; serotonergic).","Post hoc fluorescence microscopy confirming ChR2‐EYFP expression in ZI somata and dense axonal labeling in PVT at injection coordinates AP –1.00 mm, ML ±0.7 mm, DV –4.40 mm.","","","To elucidate how serotonin directly excites and indirectly disinhibits PVT neurons via ZI GABA inputs and how this modulation is altered by high‐fat diet, with implications for feeding control and obesity.",""
"AIM-8","lee.nodate","Sleep need-dependent plasticity of a thalamic circuit promotes homeostatic recovery sleep.","Lee SS, Liu Q, Cheng AHR, Kim DW, Boudreau DM, Mehta A, Keles MF, Fejfer R, Palmer I, Park KH, Munzberg H, Harris TD, Graves AR, Blackshaw S, Wu MN","https://doi.org/10.1126/science.adm8203","","","ACCEPT","ACCEPT","","","Mouse (C57BL/6J and transgenic lines including Vglut2-Cre, Fos-2A-iCreERT2;Ai14, Lhx6-Cre, Lhx6-eGFP, GAL-Cre, Sst-Cre, Gad2-Cre, Vgat-Cre, ChAT-Cre, SERT-Cre, Cck-Cre, Avp-Cre, Ai14)","Sang Soo Lee, Qiang Liu, Alexandra H. R. Cheng, Dong Won Kim, Daphne M. Boudreau, Anuradha Mehta, Mehmet F. Keles, Rafal Fejfer, Isabelle Palmer, Kristen H. Park, Heike Münzberg, Timothy D. Harris, Austin R. Graves, Seth Blackshaw, Mark N. Wu; 2025","• Monosynaptic rabies (EnvA-ΔG) retrograde tracing from 11 NREM-promoting nuclei → RE (rabies virus). • Anterograde AAV-DIO-hM3Dq-mCherry tracing: mREVglut2 → BF, POA, VLPO, ZI. • AAV-FLEX-mGFP-2A-Syp:mRuby tracing: mREVglut2 → ventromedial ZI. • Retrograde RV-ChR2 (rabies-based) tracing: vmZILhx6 → mRE. • eGRASP labeling of mREVglut2 presynaptic membranes and ZILhx6 postsynaptic membranes, demonstrating mRE→ZI synaptic contacts.","Post hoc fluorescence imaging of mCherry/eYFP and DAPI in coronal slices to confirm Zona Incerta targeting; use of Lhx6-eGFP reporter line to delineate ventromedial ZILhx6 subregion.","","","To sense sleep deprivation–induced sleep need via CaMKII-dependent plasticity in the mRE→ZI circuit and thereby promote persistent, deep, homeostatic recovery NREM sleep.","Both"
"AIM-10","ahmadlou.nodate","A cell type-specific cortico-subcortical brain circuit for investigatory and novelty-seeking behavior.","Ahmadlou M, Houba JHW, van Vierbergen JFM, Giannouli M, Gimenez GA, van Weeghel C, Darbanfouladi M, Shirazi MY, Dziubek J, Kacem M, de Winter F, Heimel JA","https://doi.org/10.1126/science.abe9681","","","ACCEPT","ACCEPT","","","Mouse (C57BL/6 and Cre‐driver lines: GAD2‐Cre, TAC1‐Cre, PV‐Cre, SST‐Cre)","Mehran Ahmadlou; Janou H. W. Houba; Jacqueline F. M. van Vierbergen; Maria Giannouli; Geoffrey-Alexander Gimenez; Christiaan van Weeghel; Maryam Darbanfouladi; Maryam Yasamin Shirazi; Julia Dziubek; Mejdy Kacem; Fred de Winter; J. Alexander Heimel (2021)","PL→ZIm (monosynaptic rabies tracing via TVA/EnvA-ΔG rabies in GAD2-Cre), ZImGAD2→lPAG (anterograde AAV-DIO-ChR2 in GAD2-Cre), ZImGAD2→MLR and ZImGAD2→PnO (anterograde AAV-DIO-ChR2), PAG→ZImTAC1 (retrograde AAV-EYFP in TAC1-Cre), PL→ZImTAC1 (monosynaptic rabies tracing in TAC1-Cre)","Histological confirmation via fluorescent reporter (ChR2-mCherry, stGtACR2-FusionRed) expression in ZIm and visualization of fiber/electrode tracks (DiI) against anatomical landmarks","Recorded GCaMP6s signals from ZIm GAD2 neurons, PL→ZIm axons, and ZIm→PAG axons during deep vs. shallow object and social investigation; ZIm GAD2: increased z-score in both, significantly higher in deep; PL→ZIm: active in both, no deep/shallow difference; ZIm→PAG: active only during deep investigation","","To drive and gate curiosity-driven investigatory and novelty-seeking behavior.","Both"
"AIM-69","de git.nodate","Zona incerta neurons projecting to the ventral tegmental area promote action initiation towards feeding.","de Git KCG, Hazelhoff EM, Nota MHC, Schele E, Luijendijk MCM, Dickson SL, van der Plasse G, Adan RAH","https://doi.org/10.1113/jp276513","","","ACCEPT","ACCEPT","de git.nodate","","Adult male Wistar rats","de Git KG, Hazelhoff EM, Nota MHC, Schele E, Luijendijk MCM, Dickson SL, van der Plasse G, Adan RAH (2021)","ZI to VTA projection neurons: retrograde tracing via CAV2Cre injected into the VTA, co-injected with AAV-hSyn-mCherry to mark VTA injection site; Cre-dependent anterograde expression of AAV-CBA-DIO-GFP:TetTox in ZI-region; GFP-positive axonal fibres detected in VTA but absent in paraventricular thalamus (PVT).","Immunofluorescence of mCherry to verify VTA injection site; in situ hybridization for TetTox-GFP mRNA to verify ZI-region targeting; immunohistochemistry for GFP protein to confirm ZI→VTA terminal labeling","","","To promote feeding by facilitating action initiation towards food.","both"
"AIM-70","chen.nodatec","Activation of zona incerta gamma-aminobutyric acid-ergic neurons alleviates depression-like and anxiety-like behaviors induced by chronic restraint stress.","Chen SH, Lan B, Zhang YY, Li GH, Qian YL, Hu MX, Tian YL, Zang WD, Cao J, Wang GH, Wang YG","https://doi.org/10.5498/wjp.v15.i2.101807","","","ACCEPT","ACCEPT","chen.nodatec","","Adult male 6-8-week-old C57BL/6 mice","Si-Hai Chen; Bo Lan; Ying-Ying Zhang; Guo-Hui Li; Yu-Long Qian; Ming-Xing Hu; Yin-Lin Tian; Wei-Dong Zang; Jing Cao; Guang-Hai Wang; Yi-Gang Wang, 2025","","Stereotaxic injection guided by brain atlas coordinates (AP -2.3 mm, ML 1.68 mm, DV -4.25 mm) and immunofluorescence colocalization of viral reporter with GABA staining in ZI","","Whole-cell patch-clamp recordings of ZI VGAT1-EGFP GABAergic neurons showed: reduced spike number across 10–100 pA current injections; increased rheobase current; hyperpolarized resting membrane potential; no changes in action potential threshold, afterhyperpolarization amplitude, action potential amplitude, or half-width.","To regulate and alleviate depression-like and anxiety-like behaviors induced by chronic restraint stress in mice via modulation of ZI GABAergic neuron activity.","Both"
"AIM-79","hu.nodate","Activation of the Intrinsic Pain Inhibitory Circuit from the Midcingulate Cg2 to Zona Incerta Alleviates Neuropathic Pain.","Hu TT, Wang RR, Du Y, Guo F, Wu YX, Wang Y, Wang S, Li XY, Zhang SH, Chen Z","https://doi.org/10.1523/jneurosci.1683-19.2019","","","ACCEPT","ACCEPT","","","Adult male C57BL/6J mice; Vgat-ChR2-eYFP and Vgat-Cre transgenic lines","Ting-Ting Hu; Ran-Ran Wang; Yu Du; Fang Guo; Yu-Xing Wu; Yi Wang; Shuang Wang; Xiang-Yao Li; Shi-Hong Zhang; Zhong Chen (2019)","1) MCC Cg2 glutamatergic neurons → ZI GABAergic neurons (anterograde AAV-CaMKII-ChR2-eYFP)
2) MCC Cg2 glutamatergic neurons → DLPAG (anterograde AAV-CaMKII-ChR2-eYFP)
3) ZI GABAergic neurons → MCC Cg2 and Cg1 glutamatergic neurons (monosynaptic rabies, EnvA-ΔG-DsRed with TVA/RVG in Vgat-Cre)","Histochemical confirmation of cannula tips and viral expression on cryosections matched to ZI atlas coordinates","Population: MCC Cg2 glutamatergic neurons; Indicator: GCaMP6s-eYFP via AAV-CaMKII; Method: bulk fiber photometry; Epoch: response to contralateral formalin injection; Direction: decrease in ΔF/F; N animals: saline n=4, formalin n=5; No peak ΔF/F or latency explicitly stated","","Mediates intrinsic inhibition of multimodal nociception and relieves neuropathic pain","Both"
"AIM-9","li.nodatea","Zona incerta subpopulations differentially encode and modulate anxiety.","Li Z, Rizzi G, Tan KR","https://doi.org/10.1126/sciadv.abf6709","","","ACCEPT","ACCEPT","li.nodatea","","Male and female SOM-CRE (B6-Sst<tm2.1(cre)Zjh>/J), CR-CRE (B6(Cg)-Calb2<tm1(cre)Zjh>/J), Vglut2-CRE (B6.Cg-Slc17a6<tm2(cre)Lowl>Unc/J), C57BL/6JRj, SOM-TOM and CR-TOM reporter lines, and BALB/cByJRj mice","Zhuoliang Li, Giorgio Rizzi, Kelly R. Tan; 2021","SOM+ ZI → LHb; CR+ ZI → LHb; Vglut2+ ZI → LHb; CR+ ZI → dmPAG; Vglut2+ ZI → lPAG and vlPAG; SOM+ ZI → dmPAG, lPAG, and vlPAG (all anterograde, AAV-FLEX-tdTomato-T2A-SypEGFP in SOM-Cre, CR-Cre, and Vglut2-Cre mice)","Targeting of the rostral ZI was verified by confocal imaging of the GRIN lens tract and GCaMP6m expression, and of cannula tracts marked by red RetroBeads, aligned to stereotaxic coordinates.","Recorded population: ZI CaMKIIα+ neurons (GCaMP6m via AAV1-CAMKIIα-GCaMP6m, GRIN lens, miniscope); behavioral epoch: exploration of open-arm edges vs safe center; positive correlation group (23% of 128 cells, N=5 mice, r=0.4750) showed increased z-scores upon edge entry (0.32±0.06 vs 0.00±0.07) and decreased upon edge exit (–0.36±0.03 vs 0.00±0.10); negative correlation group (9% of 11 cells, r=–0.2834) exhibited opposite trends; statistical test: bootstrap-derived correlation significance; figure reference: Fig. 2 G–M.","SOM+ ZI: Cm = 14.27±0.80 pF (N=13-16), RMP = –72.20±2.12 mV, AP width = 8.46±0.16 ms, rheobase = 41.33±5.68 pA, max firing = 45.43±5.34 Hz; CR+ ZI: Cm = 16.94±2.16 pF, RMP = –74.31±3.37 mV, AP width = 8.46±0.13 ms, rheobase = 23.13±2.54 pA, max firing = 42.00±6.38 Hz; Vglut2+ ZI: Cm = 15.15±1.09 pF, RMP = –68.15±2.88 mV, AP width = 9.16±0.47 ms, rheobase = 29.17±3.36 pA, max firing = 105.20±11.42 Hz; recordings at ~31°C; internal/external solutions as described; statistical tests: one-way ANOVA (P<0.01 for rheobase, P<0.0001 for max firing); figure reference: Fig. 4 G–M.","To determine how ZI subpopulations encode anxiety and differentially modulate anxiety-related behaviors.","Sufficiency"
"AIM-15","tong.nodate","Prelimbic cortex to zona incerta pathway mediates recognition memory recovery delay through down-regulating astrocytic GAT-3.","Tong K, Gan ZH, Wang SJ, You Y, Jing SQ, Hu WW, Hao JR, Liu S, Chao YL, Gao C","https://doi.org/10.1016/j.isci.2026.115078","","","ACCEPT","ACCEPT","tong.nodate","","Adult wild-type male and female C57BL/6J mice (3-6 months old)","Kun Tong; Zhong-Hao Gan; Shi-Jie Wang; Yue You; Si-Qi Jing; Wei-Wei Hu; Jing-Ru Hao; Su Liu; Ya-Li Chao; Can Gao (2026)","Retrograde tracing with Retro-rAAV-hSyn-EGFP injected into ZI revealed prelimbic cortex→ZI (PL→ZI) and infralimbic cortex→ZI (IL→ZI) projections; functional connectivity shown by optogenetically-evoked, AMPA receptor-mediated EPSCs in ZI neurons upon PL terminal activation.","Histological immunofluorescence showing EGFP-labeled virus injection site in ZI, combined with stereotaxic placement at AP –1.5 mm, ML ±0.9 mm, DV –4.8 mm.","","Decreased firing frequency and hyperpolarized membrane potential in ZI neurons; reduced spontaneous EPSC frequency and amplitude; no data reported on membrane capacitance, input resistance, AP half-width, sag, or rebound spiking.","To alleviate surgery-induced recognition memory impairment by activating the PL→ZI pathway, thereby up-regulating astrocytic GAT-3 expression in the ZI and promoting cognitive recovery.","sufficiency"
